storeId,storeName,storeAddress
1,Bubblemix,221 Victoria Parkway
2,Youfeed,9 Loeprich Court
3,Mynte,50 Vera Lane
4,Voonyx,83 Ridgeview Lane
5,Rhynoodle,45662 Rigney Park
6,Youtags,690 Havey Avenue
7,Edgeify,010 Cherokee Parkway
8,Zoombox,5613 La Follette Alley
9,Skidoo,15371 Spenser Plaza
10,Rhynyx,46 Debra Street
11,Meevee,67727 Farwell Drive
12,Reallinks,04 Blue Bill Park Junction
13,Realbridge,59611 Mockingbird Place
14,Bubblemix,14 Roth Park
15,Mynte,089 Fair Oaks Alley
16,Meejo,32 Fremont Place
17,Blogpad,62 Esker Alley
18,Fatz,74097 Bluestem Court
19,Feedmix,1711 Bartillon Park
20,Eidel,866 Petterle Circle
21,Zooveo,287 Morning Way
22,Jabberstorm,16 Kenwood Circle
23,Blognation,32 Talisman Center
24,Avaveo,417 Arrowood Parkway
25,Riffpedia,7142 Hollow Ridge Way
26,Jaxbean,1456 Sachs Crossing
27,Dabtype,311 Sherman Way
28,Digitube,64 Towne Parkway
29,Twiyo,082 Huxley Junction
30,Oyoba,7444 Debs Circle
31,Einti,871 Leroy Plaza
32,Realfire,86802 Browning Road
33,Myworks,1423 Declaration Pass
34,Meemm,647 Blue Bill Park Lane
35,Oloo,3 Grayhawk Plaza
36,Aimbu,859 Ohio Junction
37,Babblestorm,14 Morningstar Park
38,Meeveo,7183 Grasskamp Trail
39,Skyvu,02082 Bayside Center
40,Skimia,85 Bonner Court
41,Dynabox,36872 Glendale Circle
42,Gabtune,70 Mariners Cove Street
43,Topdrive,7440 Crownhardt Way
44,Wordify,8 Bultman Way
45,Devpoint,9 Armistice Circle
46,Skaboo,894 Weeping Birch Lane
47,Feedfish,6178 Steensland Road
48,Vitz,997 Knutson Trail
49,Kimia,5 Northport Junction
50,Kazu,0864 Oak Valley Street
51,Voonyx,0954 Hudson Court
52,Youspan,4567 Kim Avenue
53,Riffpath,5382 Holy Cross Way
54,Babbleopia,98693 Crownhardt Alley
55,Mydo,63288 Mendota Terrace
56,Centidel,84799 Packers Lane
57,Twinder,1 Dennis Crossing
58,Yakidoo,87842 Dwight Trail
59,Twitterbridge,52 Bashford Pass
60,Livepath,0 Autumn Leaf Place
61,Eabox,18402 South Junction
62,Bluezoom,737 Warbler Hill
63,Plajo,32 Cordelia Place
64,Skinte,47882 Dapin Center
65,Topiclounge,10 Knutson Alley
66,Leexo,667 Wayridge Drive
67,Mybuzz,404 Grim Crossing
68,Youopia,027 David Hill
69,Topicstorm,015 Grim Drive
70,Kaymbo,93 Blue Bill Park Junction
71,Camimbo,93126 Weeping Birch Crossing
72,Tazzy,4 Coolidge Crossing
73,Dabjam,60 Donald Center
74,Livepath,1125 Larry Point
75,Mymm,8 Orin Avenue
76,Babbleset,93 Forster Pass
77,Brainverse,3 Del Mar Terrace
78,Teklist,935 Reinke Trail
79,Skinder,9318 Welch Circle
80,Ooba,15 Schlimgen Parkway
81,Trudoo,7 Carey Court
82,Tazzy,89 Fremont Avenue
83,Shuffledrive,0 Scofield Way
84,Tagopia,7 Maple Wood Avenue
85,Jaxspan,790 Leroy Alley
86,Ooba,07439 Logan Alley
87,Fanoodle,609 Cambridge Junction
88,Ooba,15233 Pawling Parkway
89,Blogspan,12 Veith Way
90,Oyondu,78165 Claremont Point
91,Photojam,11 Coleman Street
92,Yadel,6 Mayer Drive
93,Ooba,6178 Vermont Hill
94,Buzzdog,4704 Orin Park
95,Fivespan,9 Welch Junction
96,Buzzdog,795 Esker Avenue
97,Kaymbo,487 Coolidge Court
98,Rhynyx,74000 Basil Alley
99,Wikibox,812 Hudson Drive
100,Dynabox,112 Algoma Hill
